,fecha,precio,año_hecho,año_renovado,metros_cuadrados,pisos,habitaciones,baños,calle,codigo_zip,estado,ciudad
0,2019-06-24,260070,1982-01-01,1970-01-01 00:00:00.000002016,762.0,1.0,4.0,2.0,2400 WALNUT RIDGE ST,75229.0,TX,DALLAS
1,2019-07-18,456280,1982-01-01,1970-01-01 00:00:00.000002016,866.0,2.0,4.0,2.0,10400 BIG THICKET DR,75217.0,TX,DALLAS
2,2019-07-31,237820,1982-01-01,1970-01-01 00:00:00.000002016,814.0,1.0,5.0,3.0,9200 DARTWOOD LN,75225.0,TX,DALLAS
3,2019-08-14,231000,1980-01-01,1970-01-01 00:00:00.000002016,680.0,1.0,4.0,2.0,4800 SIMCOE ST,75228.0,TX,DALLAS
4,2019-07-31,1410820,1980-01-01,1970-01-01 00:00:00.000002016,1018.0,2.0,4.0,2.0,6926 STEFANI DR,75225.0,TX,DALLAS
5,2019-07-16,740220,1980-01-01,1970-01-01 00:00:00.000002016,792.0,2.0,4.0,3.0,7800 MATTISON ST,75217.0,TX,DALLAS
6,2019-06-28,275830,1980-01-01,1970-01-01 00:00:00.000002016,640.0,2.0,4.0,2.0,400 SUNNYSIDE AVE,75211.0,TX,DALLAS
7,2019-06-27,355420,1980-01-01,1970-01-01 00:00:00.000002016,399.0,2.0,2.0,1.0,200 KITTIWAKE CIR,75211.0,TX,DALLAS
8,2019-07-24,390780,1979-01-01,1970-01-01 00:00:00.000002016,503.0,1.0,3.0,2.0,11600 TUSCANY WAY,75218.0,TX,DALLAS
9,2019-07-11,1152800,1977-01-01,1970-01-01 00:00:00.000002016,716.0,1.0,3.0,2.0,2400 51ST ST,75216.0,TX,DALLAS
10,2019-06-07,678110,1977-01-01,1970-01-01 00:00:00.000002016,920.0,2.0,5.0,3.0,2901 MAGNOLIA HILL CT,75201.0,TX,DALLAS
11,2019-07-25,281880,1977-01-01,1970-01-01 00:00:00.000002016,735.0,1.0,4.0,2.0,9821 COUNTY CORK DR,75218.0,TX,DALLAS
12,2019-06-20,225820,1977-01-01,1970-01-01 00:00:00.000002016,448.0,1.0,3.0,2.0,1250 WOODSTROCK ST,75208.0,TX,DALLAS
13,2019-06-07,552190,1977-01-01,1970-01-01 00:00:00.000002016,945.0,2.0,3.0,2.0,515 ERVAY ST,75217.0,TX,DALLAS
14,2019-07-21,457280,1973-01-01,1970-01-01 00:00:00.000002016,421.0,2.0,3.0,2.0,444 OAK HOLLOW DR,75217.0,TX,DALLAS
16,2019-08-07,1078030,1972-01-01,1970-01-01 00:00:00.000002016,1036.0,1.0,3.0,3.0,2900 VICTORIAN FOREST DR,75227.0,TX,DALLAS
17,2019-07-28,335730,1972-01-01,1970-01-01 00:00:00.000002016,418.0,2.0,4.0,2.0,2612 THE MALL,75219.0,TX,DALLAS
18,2019-06-27,182460,1969-01-01,1970-01-01 00:00:00.000002016,335.0,1.0,3.0,1.0,2540 BAHAMA DR,75211.0,TX,DALLAS
19,2019-08-13,544470,1969-01-01,1970-01-01 00:00:00.000002016,384.0,1.0,3.0,2.0,9401 DIXIE LN,75228.0,TX,DALLAS
20,2019-07-30,907040,1968-01-01,1970-01-01 00:00:00.000002016,972.0,1.0,5.0,4.0,1011.5 CAMERON AVE,75223.0,TX,DALLAS
21,2019-07-31,217920,1968-01-01,1970-01-01 00:00:00.000002016,354.0,1.0,3.0,2.0,12201 MONTEGO PLZ,75230.0,TX,DALLAS
22,2019-07-07,327510,1968-01-01,1970-01-01 00:00:00.000002016,436.0,1.0,3.0,2.0,6701 ALEXANDER DR,75214.0,TX,DALLAS
23,2019-06-19,543510,1965-01-01,1970-01-01 00:00:00.000002016,701.0,1.0,3.0,3.0,1201 MEDICAL DISTRICT DR,75207.0,TX,DALLAS
24,2019-07-23,417890,1951-01-01,1970-01-01 00:00:00.000002016,460.0,1.0,3.0,2.0,900 GAUSE LN,75217.0,TX,DALLAS
25,2019-08-12,871620,1921-01-01,1970-01-01 00:00:00.000002016,969.0,2.0,4.0,3.0,11001 MILHOF DR,75228.0,TX,DALLAS
26,2019-07-03,599860,1919-01-01,1970-01-01 00:00:00.000002016,634.0,1.0,4.0,3.0,4000 RANGER DR,75212.0,TX,DALLAS
27,2019-07-10,876330,1907-01-01,1970-01-01 00:00:00.000002016,963.0,2.0,5.0,3.0,2201 LAWRENCE ST,75215.0,TX,DALLAS
28,2019-07-14,436800,1904-01-01,1970-01-01 00:00:00.000002016,274.0,1.0,2.0,1.0,2001 SKYLARK DR,75216.0,TX,DALLAS
29,2019-07-08,442400,1904-01-01,1970-01-01 00:00:00.000002016,430.0,1.0,2.0,1.0,2700 LAWTHERWOOD CT,75214.0,TX,DALLAS
30,2019-07-03,842790,1904-01-01,1970-01-01 00:00:00.000002016,988.0,2.0,4.0,3.0,4201 BERNAL DR,75212.0,TX,DALLAS
31,2019-06-27,476090,1984-01-01,1970-01-01 00:00:00.000002015,622.0,1.0,3.0,2.0,5200 PRESTON HAVEN DR,75229.0,TX,DALLAS
32,2019-06-14,783880,1982-01-01,1970-01-01 00:00:00.000002015,896.0,2.0,4.0,3.0,1100 MORELAND AVE,75204.0,TX,DALLAS
33,2019-07-18,253640,1982-01-01,1970-01-01 00:00:00.000002015,634.0,1.0,4.0,3.0,800 WOODROCK DR,75217.0,TX,DALLAS
34,2019-08-12,527350,1982-01-01,1970-01-01 00:00:00.000002015,960.0,1.0,6.0,4.0,11000 PEPPERIDGE CIR,75228.0,TX,DALLAS
35,2019-07-14,607580,1981-01-01,1970-01-01 00:00:00.000002015,875.0,2.0,3.0,3.0,4701 NOME ST,75216.0,TX,DALLAS
36,2019-07-02,399770,1981-01-01,1970-01-01 00:00:00.000002015,902.0,2.0,4.0,3.0,500 BOTANY BAY DR,75211.0,TX,DALLAS
37,2019-07-21,310400,1981-01-01,1970-01-01 00:00:00.000002015,369.0,1.0,3.0,2.0,6201 JEANE ST,75217.0,TX,DALLAS
38,2019-06-07,401830,1981-01-01,1970-01-01 00:00:00.000002015,1180.0,2.0,4.0,3.0,2300 LEONARD ST,75201.0,TX,DALLAS
39,2019-07-31,222850,1981-01-01,1970-01-01 00:00:00.000002015,552.0,2.0,3.0,2.0,3800 MORNING DEW CIR,75224.0,TX,DALLAS
40,2019-07-15,226090,1981-01-01,1970-01-01 00:00:00.000002015,567.0,1.0,3.0,2.0,4101 CALDER ST,75216.0,TX,DALLAS
41,2019-07-02,589610,1981-01-01,1970-01-01 00:00:00.000002015,756.0,2.0,3.0,2.0,1621 WESTERN PARK CT,75211.0,TX,DALLAS
42,2019-06-26,196850,1980-01-01,1970-01-01 00:00:00.000002015,466.0,1.0,3.0,2.0,3220 AL LIPSCOMB WAY,75210.0,TX,DALLAS
43,2019-07-30,303330,1980-01-01,1970-01-01 00:00:00.000002015,357.0,1.0,3.0,1.0,1601 SHELMIRE DR,75224.0,TX,DALLAS
44,2019-06-13,425670,1980-01-01,1970-01-01 00:00:00.000002015,521.0,1.0,3.0,2.0,2200 APOLLONIA LN,75204.0,TX,DALLAS
45,2019-07-04,318410,1980-01-01,1970-01-01 00:00:00.000002015,344.0,1.0,3.0,2.0,6501 ARBORIST LN,75214.0,TX,DALLAS
46,2019-06-30,677050,1980-01-01,1970-01-01 00:00:00.000002015,939.0,1.0,3.0,3.0,1800 DRYDEN DR,75211.0,TX,DALLAS
47,2019-06-19,1403160,1980-01-01,1970-01-01 00:00:00.000002015,850.0,2.0,3.0,3.0,5101 RED HICKORY LN,75206.0,TX,DALLAS
48,2019-06-20,254440,1980-01-01,1970-01-01 00:00:00.000002015,527.0,1.0,3.0,2.0,901 BASSETT PL,75208.0,TX,DALLAS
49,2019-07-10,373470,1979-01-01,1970-01-01 00:00:00.000002015,381.0,1.0,3.0,2.0,2200 DYSON ST,75215.0,TX,DALLAS
50,2019-07-23,458470,1979-01-01,1970-01-01 00:00:00.000002015,408.0,1.0,3.0,2.0,9401 SAINT ROSALIE DR,75217.0,TX,DALLAS
51,2019-08-14,472430,1979-01-01,1970-01-01 00:00:00.000002015,783.0,2.0,4.0,2.0,7300 RENA RD,75228.0,TX,DALLAS
52,2019-07-25,441570,1979-01-01,1970-01-01 00:00:00.000002015,625.0,1.0,3.0,3.0,400 BROOKHURST DR,75218.0,TX,DALLAS
53,2019-06-21,241330,1979-01-01,1970-01-01 00:00:00.000002015,613.0,1.0,4.0,2.0,1200 LAUSANNE AVE,75208.0,TX,DALLAS
